2022-03-16_10-19-53 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2022-03-16_10-19-53 [main] INFO  c.c.q.QuotesMicroserviceApplication - Starting QuotesMicroserviceApplication using Java 17.0.1 on LTIN270266 with PID 26232 (C:\Users\2068215\git\policy-administration-system\quotes-microservice\target\classes started by 2068215 in C:\Users\2068215\git\policy-administration-system\quotes-microservice)
2022-03-16_10-19-53 [main] INFO  c.c.q.QuotesMicroserviceApplication - No active profile set, falling back to default profiles: default
2022-03-16_10-19-53 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-03-16_10-19-53 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 358 ms. Found 1 JPA repository interfaces.
2022-03-16_10-19-53 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=0e6a4999-e85b-37b9-8f07-e288e5eef9c8
2022-03-16_10-19-53 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8093 (http)
2022-03-16_10-19-53 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8093"]
2022-03-16_10-19-53 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-03-16_10-19-53 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.52]
2022-03-16_10-19-53 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-03-16_10-19-53 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4774 ms
2022-03-16_10-19-53 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-03-16_10-19-53 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-03-16_10-19-53 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:quotesDb'
2022-03-16_10-19-53 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2022-03-16_10-19-53 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
2022-03-16_10-19-53 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-03-16_10-19-53 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-03-16_10-19-53 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
